n,d,t
1000,388,0.01772076199646108
1000,573,0.02413515400025062
1000,41,0.001050102001754567
1000,538,0.023155516000697388
1000,203,0.008761446002172307
1000,571,0.028048690002178772
1000,948,0.058629798006732015
1000,823,0.04956584999919869
1000,918,0.05437847800087184
1000,800,0.047446270001819356
1000,322,0.014655089996522293
1000,87,0.0036703159974422308
1000,109,0.004554867997067049
1000,792,0.04860693800612353
1000,730,0.04168695400119759
1000,459,0.019747513999463992
1000,37,0.0010308580019045622
1000,460,0.02180813599843532
1000,844,0.05108057000674307
1000,296,0.013489107998320832
1000,603,0.02590581199270673
1000,46,0.0020164959994144736
1000,591,0.026939421995775772
1000,297,0.01334341200417839
1000,698,0.03601763199898414
1000,563,0.024786444001365454
1000,396,0.017082050000317393
1000,663,0.03149742599576712
1000,328,0.015111264000879601
1000,141,0.00610133400070481
1000,696,0.03612004399532452
1000,845,0.050795282003236936
1000,288,0.0131104060029611
1000,432,0.018944226002786307
1000,810,0.04742652399931103
1000,245,0.016006760000018404
1000,908,0.057977537998231125
1000,861,0.05974400800419971
1000,94,0.0052827619970776145
1000,507,0.02327382999821566
1000,713,0.03433521000551991
1000,787,0.04641724800108932
1000,503,0.021938783997902646
1000,912,0.0559622160019353
1000,732,0.03890867799753323
1000,246,0.010648715998977423
1000,969,0.05892937600263395
1000,887,0.053144293994409966
1000,224,0.01037019599461928
1000,80,0.003029045998118818
1000,981,0.06080260799615644
1000,545,0.024369775999803098
1000,909,0.055421744000632316
1000,301,0.014106779999565333
1000,929,0.05583383399411104
1000,38,0.0012206639943178742
1000,171,0.009492567999986932
1000,941,0.05873784200055525
1000,673,0.033467848000582306
1000,429,0.019792807996273042
1000,307,0.014023934002034366
1000,146,0.005501539997057989
1000,400,0.01792647799709812
1000,614,0.02648500199895352
1000,963,0.06034193400293589
1000,961,0.05932201400632039
1000,633,0.028590355998603628
1000,362,0.016393805999541655
1000,357,0.01552075799787417
1000,512,0.022188711998751387
1000,500,0.021911490000784396
1000,794,0.050189633995760236
1000,684,0.036846652003005145
1000,78,0.0034871799987740816
1000,122,0.005954788001254201
1000,647,0.028085458000423388
1000,770,0.04727808800060302
1000,553,0.024634401999646796
1000,731,0.04033965600072406
1000,637,0.027669305998133494
1000,262,0.011709209999535232
1000,715,0.03557510400540195
1000,888,0.0545193960017059
1000,393,0.017724715993972497
1000,384,0.017027738000033422
1000,956,0.0600711560016498
1000,648,0.028441706001758577
1000,469,0.02053622800274752
1000,966,0.061538933996343984
1000,692,0.03692916799453087
1000,527,0.023213418006198482
1000,494,0.02156361400615424
1000,352,0.015426799998385832
1000,356,0.01544171400135383
1000,47,0.0013632980000693351
1000,782,0.04970368199748918
1000,983,0.06142045200220309
1000,506,0.022146503996336834
1000,200,0.008497383997309952
1000,964,0.06078385600587353
1000,390,0.01715413000085391
1000,365,0.016247065998613835
1000,486,0.021658981998916714
1000,5,6.57580012921244e-05
1000,271,0.012469693997409194
1000,702,0.03510555799701251
1000,653,0.03362341800471768
1000,951,0.06035171799594537
1000,761,0.04622430600342341
1000,69,0.0026576800050679594
1000,746,0.04054771999712102
1000,960,0.06095238199923188
1000,691,0.036858583997236564
1000,767,0.05005439199972898
1000,48,0.0018452380015514791
1000,213,0.011883859997615218
1000,745,0.04160557000548579
1000,275,0.011539384005591274
1000,82,0.003144683997379616
1000,616,0.027733502000337466
1000,363,0.015971448001218958
1000,451,0.020602701995521784
1000,759,0.045897132004611194
1000,717,0.03596108999918215
1000,621,0.026766994002973662
1000,198,0.009417682003695518
1000,209,0.009263445999240503
1000,818,0.04993993999552913
1000,863,0.05276308400090784
1000,837,0.0485206860001199
1000,482,0.021454959996044635
1000,521,0.026069992000702768
1000,756,0.04907365399529226
1000,491,0.023653301999438554
1000,559,0.02644646399654448
1000,154,0.00831521200714633
1000,911,0.0623629200074356
1000,422,0.021423796002054588
1000,848,0.05470201000222005
1000,898,0.059522280005039646
1000,180,0.010859094001352787
1000,764,0.04942292799823918
1000,40,0.0018447719991672785
1000,136,0.009251679995795712
1000,183,0.012261897999560461
1000,135,0.00884220200125128
1000,195,0.013828834000742063
1000,858,0.059650321998633446
1000,61,0.003089971997542307
1000,443,0.025098134008003398
1000,218,0.015447127999505029
1000,687,0.04361788399517536
1000,128,0.00746003600070253
1000,340,0.01974322200519964
1000,803,0.05495663200039416
1000,600,0.03014136599842459
1000,755,0.05001455600140616
1000,551,0.02729192600469105
1000,433,0.0225862059998326
1000,519,0.025630133997183294
1000,853,0.05982752799871378
1000,163,0.010308240000158548
1000,68,0.004469129990320652
1000,110,0.007991803998593242
1000,385,0.022393905996577815
1000,881,0.0628352019994054
1000,638,0.033953990002628415
1000,513,0.02603878200170584
1000,882,0.06069280399591662
1000,193,0.012791539996396751
1000,425,0.02199499600334093
1000,779,0.05471291599678807
1000,641,0.03421955599449575
1000,758,0.05122221199679188
1000,476,0.024820239995606244
1000,677,0.038593829995952546
1000,273,0.017381448002997787
1000,757,0.04899947600322776
1000,217,0.012757098003057764
1000,978,0.0678868319967296
1000,255,0.014912216004449873
1000,671,0.039822499997681005
1000,793,0.05368476199568249
1000,101,0.005630798001075164
1000,942,0.06640063599916175
1000,640,0.032285812003538014
1000,386,0.019466334002790974
1000,557,0.029106565997935832
1000,589,0.030103129997150972
1000,92,0.005167532000923529
1000,354,0.019230382004752754
1000,681,0.03943670199601911
1000,114,0.007369228004245087
1000,679,0.03908474400290288
1000,680,0.040933913999469954
1000,211,0.014185424001188949
1000,821,0.05435913200606592
1000,173,0.01104825999122113
1000,934,0.06677944000111893
1000,766,0.05228018400259316
1000,949,0.06594880400341935
1000,733,0.042946416003396735
1000,133,0.007839932002825662
1000,72,0.004008013997226953
1000,45,0.002556345998309553
1000,120,0.007158713999669999
1000,168,0.01135028799646534
1000,408,0.02160012599779293
1000,97,0.005814843999687582
1000,857,0.05791950999759138
1000,107,0.006756664003478363
1000,74,0.0045181779994163665
1000,225,0.014810954001732171
1000,628,0.03187562000588514
1000,29,0.0009751580038573593
1000,688,0.04121522599598393
1000,864,0.0587628919922281
1000,778,0.05369406400131993
1000,913,0.061433359998045486
1000,868,0.058625918000470845
1000,906,0.06201874400139786
1000,165,0.009941464001312851
1000,442,0.024932606000220403
1000,987,0.06889701399835758
1000,130,0.006124340004753322
1000,709,0.038513580004218964
1000,282,0.015861859997967256
1000,799,0.057237711997004226
1000,380,0.02147728400072083
1000,959,0.07018208400346339
1000,156,0.009543709998251871
1000,974,0.0699474580027163
1000,883,0.05842104200390168
1000,119,0.0064499040029477326
1000,428,0.024005643997807056
1000,695,0.042451189996209
1000,236,0.014177589999744668
1000,313,0.01810727399890311
1000,984,0.06800562000251376
1000,902,0.061441943997051565
1000,668,0.03781512000248768
1000,893,0.06072252200101502
1000,64,0.0038569779973477124
1000,417,0.02183970200130716
1000,583,0.03019125200342387
1000,375,0.018580589991761372
1000,32,0.0012191739957779647
1000,208,0.014038556000450626
1000,199,0.013371808000374585
1000,581,0.03055841999943368
1000,664,0.03965665599447675
1000,155,0.009397302005672827
1000,849,0.05689123000018299
1000,289,0.016064916000468655
1000,615,0.031214303998276592
1000,879,0.06234710599761456
1000,240,0.016303071998991073
1000,860,0.05827781799715012
1000,990,0.06847909599891863
1000,813,0.053307237999979405
1000,561,0.02982994999154471
1000,781,0.051754546000156554
1000,266,0.015606008002068848
1000,495,0.026085885994834825
1000,186,0.014266292004613206
1000,646,0.03556955799343996
1000,455,0.022470038002356887
1000,470,0.024228434005053714
1000,651,0.037524981999304145
1000,100,0.006562366002472117
1000,652,0.038437467998592184
1000,808,0.05628557200776413
1000,582,0.03002798800240271
1000,840,0.05750392000307329
1000,820,0.05566979000228457
1000,606,0.031066322001861407
1000,979,0.07591733999899589
1000,461,0.024439929998479784
1000,805,0.05286616599769332
1000,382,0.019723829994909466
1000,343,0.017852689997525886
1000,856,0.05745455599972047
1000,232,0.013296823997516185
1000,892,0.0595595739944838
1000,263,0.016509638002607973
1000,18,0.0005691040027886629
1000,536,0.02859886800288223
1000,219,0.012746503999223932
1000,743,0.04445959599805065
1000,329,0.017236520001897588
1000,656,0.03749877800815739
1000,85,0.005944757994730026
1000,549,0.029464069997193292
1000,558,0.028569792007328943
1000,972,0.06867953599779866
1000,86,0.0037927439925260842
1000,15,0.0003602599981240928
1000,295,0.018819061999674886
1000,546,0.027800735995406285
1000,967,0.06691678599920124
1000,846,0.05601562800002284
1000,874,0.05901084600016475
1000,771,0.05044082199689001
1000,28,0.0009472140029538423
1000,703,0.0413092680007685
1000,706,0.03912571800756268
1000,44,0.0014888280059676617
1000,576,0.02989548800396733
1000,939,0.06542983799939975
1000,548,0.027853794002439827
1000,20,0.0006657759973313659
1000,915,0.06424039999837987
1000,532,0.0282056579971686
1000,704,0.03902344400063157
1000,468,0.024164636007044465
1000,965,0.0686320880020503
1000,851,0.05754457000410184
1000,181,0.012054940003436059
1000,511,0.026826344004366547
1000,517,0.02525958200218156
1000,420,0.022130848000524565
1000,176,0.011349217998795211
1000,360,0.018558327994542198
1000,66,0.0041584460064768795
1000,248,0.01530000000144355
1000,992,0.06901854000403546
1000,310,0.016913510002195833
1000,683,0.03807397199678235
1000,421,0.022416379997739568
1000,769,0.050281510003842414
1000,721,0.04322386999847368
1000,349,0.018827996000181882
1000,895,0.06462333199917339
1000,215,0.014876960002584382
1000,499,0.026971208001486956
1000,739,0.04593273799750022
1000,448,0.022646944004809485
1000,201,0.013775109996786342
1000,430,0.024190687999362127
1000,655,0.037933874006848785
1000,260,0.014748490002239123
1000,957,0.06619088999927043
1000,383,0.020835111999185755
1000,277,0.015029812001157552
1000,544,0.026804799997480585
1000,775,0.052043523997999726
1000,839,0.05864406999666244
1000,649,0.03358135999413207
1000,801,0.05408380000269972
1000,875,0.060186838001245635
1000,305,0.01737761600059457
1000,83,0.0044492039980832485
1000,819,0.056477675997884946
1000,811,0.05470456200418994
1000,35,0.0011829880008008332
1000,317,0.01681837599724531
1000,166,0.011558891999302432
1000,826,0.0573767540010158
1000,358,0.01979612399591133
1000,916,0.06297397000249476
1000,699,0.037294724000385034
1000,250,0.015625512000406162
1000,26,0.0009625100041739643
1000,172,0.012682157999370247
1000,314,0.018370622004149482
1000,319,0.017548324001254514
1000,449,0.023988483995199202
1000,780,0.055422948001651096
1000,81,0.005061758003430441
1000,711,0.038549266001209614
1000,411,0.021660098000429572
1000,355,0.01806361799943261
1000,397,0.020829820001963525
1000,830,0.05603364799986593
1000,760,0.05240064999903552
1000,619,0.03237435200135223
1000,540,0.026730467999586834
1000,434,0.02344462599721737
1000,784,0.052159098000265657
1000,105,0.006043602002318948
1000,986,0.07028260600287467
1000,631,0.03172787399496883
1000,998,0.0684266419976484
1000,850,0.056242508003488186
1000,387,0.02027597199543379
1000,16,0.0005356799997389317
1000,145,0.012400079999351873
1000,564,0.03035043800016865
1000,726,0.04383385799708776
1000,928,0.06648101000115275
1000,693,0.04056545200292021
1000,578,0.029296716005774215
1000,207,0.0130118979990948
1000,31,0.0009850159985944629
1000,369,0.021348725996213035
1000,242,0.017453031997429206
1000,361,0.018679440004052594
1000,320,0.017539597994182258
1000,754,0.05226692799828015
1000,125,0.0071073060017079115
1000,701,0.04042674000142142
1000,552,0.02780249999719672
1000,605,0.0303212820016779
1000,841,0.05457098600338213
1000,550,0.028612753998022527
1000,79,0.00522812400246039
1000,804,0.057428502001566815
1000,720,0.04387160999351181
1000,131,0.006171954000601545
1000,98,0.005255632003536448
1000,694,0.04118165600113571
1000,389,0.020706969993188978
1000,121,0.011121745993150398
1000,50,0.004683026000857353
1000,537,0.036048864000476896
1000,570,0.030317544001154603
1000,866,0.05716852399986237
1000,115,0.0051804840040858835
1000,639,0.033770413999445734
1000,712,0.04114849400124512
1000,725,0.041123265996575356
1000,629,0.032275099999969824
1000,597,0.030401523999171332
1000,269,0.015164808001136407
1000,768,0.04991467999760062
1000,368,0.020061238006455824
1000,690,0.04075879599316977
1000,12,0.00031149399699643255
1000,748,0.04347394000506029
1000,226,0.016234008001629264
1000,588,0.029945598000194876
1000,747,0.04286083600134589
1000,123,0.0056627619988285005
1000,516,0.026213420000858606
1000,229,0.01373911599861458
1000,574,0.02892335600219667
1000,618,0.031181867996929215
1000,825,0.05360924600157887
1000,855,0.056799522000364956
1000,938,0.0629616020002868
1000,190,0.011660051998915151
1000,735,0.04550339200068265
1000,299,0.016631212003994734
1000,42,0.0015022899955511094
1000,437,0.02391363599221222
1000,234,0.01570460799499415
1000,318,0.016397529995301738
1000,946,0.06445287799229846
1000,924,0.061957856004592034
1000,309,0.016168904000660404
1000,444,0.02372863599797711
1000,976,0.0671461720042862
1000,265,0.016449328000890093
1000,272,0.015134213999845087
1000,773,0.050489984004525465
1000,568,0.029423829994630068
1000,587,0.02983556199935265
1000,445,0.023705176002113148
1000,438,0.023688813999760895
1000,492,0.026086654004175217
1000,626,0.03183569600223564
1000,958,0.06562171999830753
1000,873,0.057500104000791905
1000,1000,0.06776415799860842
1000,252,0.016243438000092283
1000,481,0.024403945995727552
1000,378,0.02000840000808239
1000,415,0.0224461739952676
1000,179,0.013155069994973019
1000,867,0.055662621998926624
1000,727,0.042318851999007166
1000,897,0.059076326002832504
1000,634,0.03346888000727631
1000,854,0.05604995399829932
1000,796,0.05250813199672848
1000,379,0.019879948002053425
1000,19,0.0006452000036370009
1000,53,0.0034249939979054036
1000,410,0.024108371996553614
1000,484,0.02513932200265117
1000,251,0.01638410599436611
1000,658,0.036867453994927926
1000,930,0.06252796799875796
1000,742,0.044086950002238154
1000,789,0.05313582599628717
1000,21,0.0007459460047539323
1000,539,0.028339296001940965
1000,734,0.04584870199556462
1000,601,0.029971064002020285
1000,10,0.00020085599506273867
1000,167,0.011486767994938418
1000,227,0.014203626002417877
1000,975,0.06898722200305202
1000,326,0.01711253000656143
1000,404,0.020474352005403488
1000,487,0.025147912002867086
1000,594,0.03001757399761118
1000,723,0.042755767997587096
1000,590,0.030517464007716627
